100,InterruptHandler,Indian Institute of Technology Delhi,2
101,Brotherhood,"Madras Institute of Technology, Anna University",2
102,Eklavyaa,Indian Institute of Technology Ropar,2
103,Tractor_guys,Indian Institute of Technology Guwahati,2
104,InTheLoop,"Indian Institute of Technology, Hyderabad",2
105,One_last_time,"Indian Institute of Information Technology, Allahabad",2
106,Dranzer,"International Institute of Information Technology, Hyderabad",2
107,Isme_kya_hai,"Indian Institute of Information Technology, Allahabad",2
108,nounicodeaccess,National Institute of Technology Karnataka,2
109,Awsome_Coders,Chennai Mathematical Institute,2
110,iiestcoders,"Bengal Engineering and Science University, Shibpur",2
111,hakuna_matata,Indian Institute of Technology Guwahati,2
112,Complexity_Simplified,"Amrita School of Engineering, Amritapuri",2
113,Diablo,Indian Institute of Technology Bombay,2
114,kalki,"International Institute of Information Technology, Hyderabad",2
115,biggest_losers,Indian Institute of Technology Guwahati,2
116,Accepted,"International Institute of Information Technology, Hyderabad",2
117,Obelisk_The_Tormentor,"Indraprastha Institute of Information Technology, Delhi",2
118,logismos,"International Institute of Information Technology, Hyderabad",2
119,connectify_Qwerty,"National Institute of Technology, Durgapur",2
120,Invictuss,Indian Institute of Technology Delhi,2
121,rejected,Birla Institute of Technology Mesra,2
122,SWAT,Jaypee Institute of Information Technology,2
123,NPAwesome,Indian Institute of Technology Kharagpur,2
124,The Deterministics,Pune Institute of Computer Technology,2
125,code_viros,Indian Institute of Technology Kharagpur,2
126,ACers,Indian Institute of Technology Bhubaneswar,2
127,IngloriousBasterds,Indian Institute of Technology Delhi,2
128,Algo Beings,Indian Institute of Technology Kanpur,2
129,k@lprits,The LNM Institute of Information Technology,2
130,asterix,Delhi Technological University,2
131,C0d3 T!tan$,"International Institute of Information Technology, Hyderabad",2
132,Titans,Indian Institute of Technology Indore,2
133,Devils1,Birla Institute of Technology Mesra,2
134,SMS Delhi,Indian Institute of Technology Delhi,2
135,MaxChaos,"Birla Institute of Technology, Patna",2
136,Jallikattu,National Institute of Technology Tiruchirappalli,2
137,debuggers,Delhi Technological University,2
138,Bermuda Triangle,Indian Institute of Technology Guwahati,2
139,De-buggers,"Dwarkadas Jivanlal Sanghvi College of Engineering, Vile Parle, Mumbai",2
140,hungry_coders,Delhi Technological University,2
141,Segmentation Fault,"Punjab Engineering College, Chandigarh",2
142,White Walkers2,"International Institute of Information Technology, Hyderabad",2
143,Illuminati,"Indian Institute of Information Technology, Design and Manufacturing, Jabalpur",2
144,UNSCInfinity,Indian Institute of Technology Kanpur,2
144,Supercoders,Indian Institute of Technology Kharagpur,2
146,SIGSEGV,"Netaji Subhas Institute of Technology, New Delhi",2
147,random,Indian Institute of Technology Guwahati,2
148,codepacers,Indian Institute of Technology Kharagpur,2
149,Dark_Knights,Birla Institute of Technology Mesra,2
150,bitmask,National Institute of Technology Tiruchirappalli,2
151,titan,"University Institute of Engineering and Technology, Punjab University",2
152,CodeTReKKers,Indian Institute of Technology Bombay,2
153,raptors,"Netaji Subhas Institute of Technology, New Delhi",2
154,Vanquish,Jaypee Institute of Information Technology,2
155,NoobClan,Delhi Technological University,2
156,SnailSort,Chennai Mathematical Institute,2
157,Algophillic,Indian Institute of Technology Roorkee,2
158,KingSlayer,Delhi Technological University,2
159,Better_Call_Sol,Birla Institute of Technology Mesra,2
160,RECursion,"National Institute of Technology, Durgapur",2
